Race,population,cases,deaths
Black or African American alone,3%,5%,4%
,,,
Asian alone,6%,6%,10%
Native Hawaiian and Pacific Islander alone,1%,5%,10%
,,,
American Indian or Alaska Native alone,14%,29%,35%
,,,
Two or more races,1%,7%,1%
,,,
White alone,65%,43%,37%
Some other race alone,8%,6%,1%
